temperature,humidity,cloudiness,wind_speed,latitude,longitude
20.0,24,56,2.6,24.69,46.72
12.8,21,1,2.6,41.0,-115.5
27.0,83,17,1.0,-15.77,128.73
0.8,89,98,5.34,59.63,39.74
25.24,73,99,2.53,1.0,-52.0
4.35,75,75,6.7,56.97,23.77
-4.53,92,20,3.6,63.84,-22.43
29.0,83,37,2.1,-20.32,118.57
-21.57,57,20,2.6,68.22,-135.01
27.07,79,64,2.76,-2.88,108.27
-4.91,67,100,9.01,70.03,20.97
-19.45,95,100,1.37,68.75,161.3
3.34,74,93,6.01,49.14,56.49
-13.81,35,5,3.6,60.72,-135.05
27.4,72,29,4.46,7.42,81.82
13.55,83,67,4.14,38.52,-28.7
14.03,62,48,13.87,30.6,32.27
20.49,45,0,1.47,20.15,94.92
-1.1,75,100,7.83,64.25,-15.21
24.0,83,75,4.1,13.07,-59.53
19.73,72,75,5.1,28.66,-17.92
25.78,78,86,2.93,5.66,-67.62
-8.4,84,100,13.94,57.8,158.67
14.2,96,84,1.29,-35.33,-72.42
31.0,70,83,3.1,-19.55,169.27
31.0,58,52,1.0,-21.62,166.22
25.46,83,75,3.1,-22.92,-42.82
21.84,11,61,3.29,22.68,-3.98
18.75,63,80,7.03,27.98,-114.06
20.5,98,100,1.29,-0.22,20.87
24.49,76,18,5.05,10.44,45.01
-14.24,72,0,4.8,47.34,123.97
-23.0,76,0,2.0,47.91,106.88
18.89,71,99,1.79,31.85,-112.83
12.05,93,70,2.25,29.73,115.98
-30.56,94,83,1.55,68.53,146.42
1.0,86,4,1.0,39.07,141.72
16.57,93,54,2.6,25.36,55.4
23.55,77,4,1.22,17.42,121.44
29.03,64,94,1.27,-8.75,148.25
-7.46,89,95,2.15,51.83,143.17
22.17,40,20,6.2,37.78,-121.98
-14.52,62,0,2.61,50.3,87.73
26.0,61,7,3.1,-22.36,-47.38
19.0,29,90,6.7,-6.84,-79.93
1.1,99,100,6.56,66.83,70.83
27.0,74,20,5.1,12.06,-61.75
30.0,74,40,5.1,19.22,-104.7
28.75,76,61,3.87,-7.91,39.67
3.05,78,74,6.74,56.98,43.17
